DBID,Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Area,State,Mile Marker,High Tide Dist.,Longitude,Latitude,Est/Exact,Length,Width,Weight,Sex,Entangled,Entangling Item,Injured,Injury Desc.,Notes,,,,,,,,,,,,,,,,,,,,,,,
151,11-08-06,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,,,-117.555,33.368,Estimate,,,,,,,,,"Original Weight on form was 30 lbs. FREE-SWIMMING ANIMAL IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED, TAGGED & RELEASED AT SAN ONOFRE STATE BEACH; MONEL TAG # Q328 AFFIXED TO LEFT FRONT FLIPPER; MONEL TAG # Q329 AFFIXED TO RIGHT FRONT FLIPPER",,,,,,,,,,,,,,,,,,,,,,,
152,04-09-06,00:00,,,Turtle,Green Sea Turtle,,Alive,"Long Beach, 225 Marina Drive, Alamitos Bay",California,,,-118.113,33.75,Exact,,,,,,,,,"Original Length on form was 45 CM.  ANIMAL APPEARED TO BE FLOATING LIFELESS IN MARINA; OBSERVED SWIMMING IN MARINA FOR TWO WEEKS; AT MARINE MAMMAL CARE CENTER ATTEMPTED TO SWIM IN PORTABLE POOL. RELEASED OUTSIDE ANAHEIM BAY (3344.029N, 11806.755W). SATELL",,,,,,,,,,,,,,,,,,,,,,,
153,09-11-06,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Newport Beach, Newport Beach",California,,,-117.906,33.603,Estimate,,,,,,,,,SPECIES CM was UT.  HARD-SHELLED TURTLE; EVISCERATED.,,,,,,,,,,,,,,,,,,,,,,,
154,07-01-07,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Alive,Gleneden Beach,Oregon,0,0,-124.0297,44.9102,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
155,07-01-07,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live,Lincoln Beach,Oregon,0,0,-124.046,44.852,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Field #: HMSC07-01-07-Cm Source: Jim Rice,,,,,,,,,,,,,,,,,,,,,,,
156,27-01-07,00:00,,,Turtle,Green Sea Turtle,,Live,Westport,Washington,,,-124.115,46.9,Estimate,,,,,,,,,M549,,,,,,,,,,,,,,,,,,,,,,,
157,11-05-07,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Newport Beach, Newport Beach",California,,,-117.906,33.603,Estimate,,,,,,,,,Original Weight on form was 27 lbs. TAIL = 2.5 CENTIMETERS,,,,,,,,,,,,,,,,,,,,,,,
158,23-07-07,00:00,,,Turtle,Green Sea Turtle,,Alive,"Avila Beach, Diablo Canyon Nuclear Power Plant Intake Structure Forebay 2-1",California,,,-120.856,35.211,Estimate,,,,,,,,,"Original Weight on form was 85 lbs. FREE-SWIMMING ANIMAL IN POWER PLANT INTAKE STRUCURE FOREBAY; 20 BARNACLES, 2 GOOSENECK BARNACLES ON CARAPACE, 2 BARNACLES ON TOP OF  HEAD & 2 BARNACLES ON RIGHT REAR FLIPPER; TWO OLD BITE MARKS ON LEFT REAR FLIPPER; ANI",,,,,,,,,,,,,,,,,,,,,,,
159,04-09-07,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 2",California,,,-117.555,33.368,Estimate,,,,,,,,,"Original Weight on form was 20 lbs. FREE-SWIMMING ANIMAL IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED, TAGGED & RELEASED ATISAN ONOFRE STATE BEACH; MONEL TAG # Q331 AFFIXED TO LEFT FRONT FLIPPER; MONEL TAG # Q330 AFFIXED TO RIGHT FRONT FLIPPER",,,,,,,,,,,,,,,,,,,,,,,
160,21-11-07,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"Long Beach, East Of Belmont Pier",California,,,-118.147,33.757,Exact,,,,,,,,,FOUND LITTLE EAST OF BELMONT PIER IN LONG BEACH,,,,,,,,,,,,,,,,,,,,,,,
161,29-11-07,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,,,-117.555,33.368,Estimate,,,,,,,,,"Original Weight on form was 150 lbs. FREE-SWIMMING ANIMAL IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED, TAGGED & RELEASED AT SAN ONOFRE STATE BEACH; MONEL TAG # 0332 AFFIXED TO LEFT FRONT FLIPPER; MONEL TAG # 0333 AFFIXED TO RIGHT FRONT FLIPPER",,,,,,,,,,,,,,,,,,,,,,,
162,20-12-07,00:00,,,Turtle,Green Sea Turtle,,,Ketchikan,Alaska,,,-131.638,55.345,Estimate,,,,,,,,,Original CCL on form was 74 CM.,,,,,,,,,,,,,,,,,,,,,,,
163,06-02-08,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Coronado, Coronado Cays",California,,,-117.137,32.627,Estimate,,,,,,,,,Original Length on form was 101.4 CM.  Original Weight on form was 300 lbs. HEALING PROPELLER WOUND ON DORSAL CARAPACE; VENTRAL CARPACE ENTIRELY CRACKED & SEPARATED (STILL ATTACHED BY SKIN TISSUE); BOTH WOUNDS ARE OLD; CARPACE IN COVERED IN LAYER OF MUD &,,,,,,,,,,,,,,,,,,,,,,,
164,02-03-08,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,South Sand Point,Washington,0,0,-122.25,47.676,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
165,12-03-08,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"San Diego, San Diego Bay",California,,,-117.144,32.675,Estimate,,,,,,,,,"Original Length on form was 100 CM.  CARCASS RETIEVED FROM SEA TURTLE SAMPLING NET DURING RESEARCH ACTIVITIES; CARCASS SEVERELY EMACIATED, CARAPACE COVERED IN MUD & GREEN ALGAE; TANGLE OF MONOFILAMENT LINE EXTENDING AROUND LEFT FRONT FLIPPER, LOOSELY ENCI",,,,,,,,,,,,,,,,,,,,,,,
166,26-08-08,00:00,,,Turtle,Green Sea Turtle,,Alive,"Long Beach/Seal Beach, Haynes Generating Station Intake Canal On Boundary Line Between La And Orange County",California,,,,,,,,,,,,,,"FREE-SWIMMING ANIMAL IN POWER PLANT INTAKE CHANNEL; TWO FISH HOOKS IN VENTRAL SURFACE OF LEFT FRONT FLIPPER, ONE FISH HOOK IN VENTRAL SURFACE OF RIGHT FRONT FLIPPER; DEEP WOUND ON DORSAL SURFACE OF LEFT FRONT FLIPPER (6 CM LONG X 2 CM WIDE); MULTIPLE BONE",,,,,,,,,,,,,,,,,,,,,,,
167,27-08-08,00:00,,,Turtle,Green Sea Turtle,,Alive,"Carlsbad, Encina Power Station Intake Racks",California,,,,,,,,,,,,,,"Original Length on form was 52 CM.  Original Weight on form was 30 lbs. FREE-SWIMMING ANIMAL IN POWER PLANT INTAKE CHANNEL; ANIMAL DIED SHORTLY AFTER CAPTURE; DEEP LACERATION ON LEFT SIDE OF 4TH VERTEBRAL SCUTE; SMALL PIECES OF PLASTRON MISSING, EXPOSING ",,,,,,,,,,,,,,,,,,,,,,,
168,23-10-08,00:00,Jim Rice,no data,Turtle,Green Sea Turtle,no data,Alive,Sandlake,Oregon,0,0,-123.966937,45.257706,Exact,0,0,0,Female,No Data,No Data,No Data,,Field #: HMSC08-10-23-Cm. Source: Jim Rice,,,,,,,,,,,,,,,,,,,,,,,
169,24-10-08,00:00,no data,no data,Turtle,Green Sea Turtle,no data,No Data,Seaside,Oregon,0,0,-123.93,45.989,Estimate,90,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
170,06-02-09,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,Ocean Shores,Washington,0,0,-124.164,46.954,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Carcass collected and frozen for later identification,,,,,,,,,,,,,,,,,,,,,,,
171,08-09-09,00:00,,,Turtle,Green Sea Turtle,,Alive,"Avila Beach, Diablo Canyon Nuclear Power Plant, 9 Miles Nw Of Avila Beach. 1-6 Forebay Bar Rack Of The Plant Intake Structure.",California,,,,,,,,,,,,,,"Original Length on form was 14.25 IN.  Original CCL on form was 19 in. Original Weight on form was 8 lbs. FREE-SWIMMING ANIMAL IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED, TAGGED & RELEASED 0.5 MILES OFFSHORE; MONEL TAG # MC-25 APPLIED TO RIGHT FRONT F",,,,,,,,,,,,,,,,,,,,,,,
172,22-10-09,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"San Diego, South San Diego Bay, Offshore Silver Strand State Beach, Near Sunken Barge",California,,,,,,,,,,,,,,"Original Length on form was 71.1 CM.  VERY DECOMPOSED CARCASS WRAPPED IN 200 METERS OF DISCARDED GILLNET; NET WAS RETRIEVED; RESEARCH ANIMAL TAGGED IN 2008, PIT TAGS IN BOTH FRONT FLIPPERS; RECORDED LENGTH = CARAPACE CURVILINEAR LENGTH",,,,,,,,,,,,,,,,,,,,,,,
173,07-11-09,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"San Diego, U.S. Naval Station, At 32Nd Street & Chollas Creek, Next To Dock",California,,,,,,,,,,,,,,"Original Length on form was 93 CM (estimated).  PROPELLER- LIKE SLASH ON RIGHT SIDE OF CARAPACE EXTENDING TO PLASTRON; ANIMAL ORIGINALLY TAGGED BY SWFSC RESEARCHERS IN SAN DIEGO BAY IN 3/00; LEFT PIT TAG # = AVID029345342, RIGHT PIT TAG # = AVID029339523",,,,,,,,,,,,,,,,,,,,,,,
174,28-11-09,00:00,Jim Rice,no data,Turtle,Green Sea Turtle,no data,Live,Long Beach,Washington,0,0,-124.06,46.353,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Field #:  HMSC09-11-29-Cm Transferred to OCA Source: Jim Rice,,,,,,,,,,,,,,,,,,,,,,,
175,10-12-09,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Diego, Mission Bay",California,,,,,,,,,,,,,,HATCHLING SEIZED FROM PRIVATE CITIZEN; ANIMAL MAY HAVE BEEN PICKED UP IN MEXICO,,,,,,,,,,,,,,,,,,,,,,,
176,17-12-09,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 2",California,,,,,,,,,,,,,,Original Weight on form was 20 lbs. FREE-SWIMMING ANIMAL IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED & TRANSLOCATED TO SAN ONOFRE STATE BEACH; SILVER METAL TAG # Q-337 AFFIXED TO LEFT FRONT FLIPPER; SILVER METAL TAG # Q-336 AFFIXED TO RIGHT FRONT FLIPP,,,,,,,,,,,,,,,,,,,,,,,
177,11-03-10,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Pacifica, Rockaway Beach",California,,,,,,,,,,,,,,Original Length on form was 80 CM.  TAIL FAIRLY SHORT,,,,,,,,,,,,,,,,,,,,,,,
178,08-08-10,00:00,,,Turtle,Green Sea Turtle,,Alive,"Avila Beach, Diablo Canyon Power Plant, 9 Mi Nw Avila Beach. 2-7 Forebay Bar Rack Of The Plant Intake Structure.",California,,,,,,,,,,,,,,"Original Length on form was 20.875 IN.  Original Weight on form was 25 lbs. ANIMAL DISCOVERED IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED & TRANSLOCATED, RELEASED 2 MILES OFFSHORE ON AUG 9, 2010; SILVER METAL TAG #MC-24 AFFIXED TO RIGHT FRONT FLIPPER; ",,,,,,,,,,,,,,,,,,,,,,,
179,24-09-10,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,,,,,,,,,,,,,,Original Weight on form was 20 lbs. ANIMAL DISCOVERED IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED & TRANSLOCATED TO SAN ONOFRE STATE BEACH; SILVER METAL TAG #Q-341 FIXED TO LEFT FRONT FLIPPER; SILVER METAL TAG #Q-340 AFFIXED TO RIGHT FRONT,,,,,,,,,,,,,,,,,,,,,,,
180,30-09-10,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,,,,,,,,,,,,,,Original Weight on form was 20 lbs. ANIMAL DISCOVERED IN POWER PLANT INTAKE CHANNEL; ANIMAL CAPTURED & TRANSLOCATED TO SAN ONOFRE STATE BEACH; SILVER METAL TAG #Q-342 AFFIXED TO LEFT FRONT FLIPPER; SILVER METAL TAG #Q-343 AFFIXED TO RIGHT FRONT FLIPPER,,,,,,,,,,,,,,,,,,,,,,,
181,18-10-10,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,San Diego Bay Outside Buoy Security Line Of Us Navy Carrier Yard,California,,,,,,,,,,,,,,Original Length on form was 55.5 CM.  ,,,,,,,,,,,,,,,,,,,,,,,
182,18-11-10,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live/Dead,Long Beach,Washington,0,0,-124.06,46.353,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Died 11/22/2010,,,,,,,,,,,,,,,,,,,,,,,
183,19-11-10,00:00,Jim Rice,no data,Turtle,Green Sea Turtle,no data,Live,Seaview,Washington,0,0,-124.061,46.332,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Field # HMSC10-11-19-Cm Source: Jim Rice,,,,,,,,,,,,,,,,,,,,,,,
184,25-01-11,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Diego, San Diego Bay, South Bay",California,,,,,,,,,,,,,,Original Weight on form was 253 lbs. CAUGHT IN A NOAA RESEARCH NET WAS VERY WEAK AND UNRESPONSIVE; LATER EXAMINATION SHOWS 4 SHOTGUN PELLETS IN TISSUE OF HIS CHIN/THROAT; NO BONES WERE HIT; THINK THAT SOMEONE SHOT HIM WHEN HIS HEAD WAS UP TAKING A BREATH.,,,,,,,,,,,,,,,,,,,,,,,
185,01-08-11,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,Was Pulled On To Dock Just North Of Visitor Center @ Mission Bay,California,,,,,,,,,,,,,,Original Length on form was 38.1 CM.  ,,,,,,,,,,,,,,,,,,,,,,,
186,31-08-11,00:00,,,Turtle,Green Sea Turtle,,Alive,San Onofre Power Plant,California,,,,,,,,,,,,,,Original Weight on form was 20 lbs.,,,,,,,,,,,,,,,,,,,,,,,
187,01-03-12,00:00,,,Turtle,Green Sea Turtle,,Alive,San Diego Bay Power Plant Outfall Channel,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,19-04-12,00:00,,,Turtle,Green Sea Turtle,,Alive,"Long Beach Marina, Dock ""V"" Removed From Water By Boaters And Placed On Dock W/ Wet Towels. Animal Control Officer Present",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,20-04-12,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Bae Systems - Near Pier 1, San Diego Bay Close To Uss Green Bay Ship",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,02-05-12,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,Chula Vista Outflow Channel From South Bay Power Plant,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,31-05-12,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,200 Meters Inland From Sweetwater Channel In San Diego Bay,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,18-06-12,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Alive,Newport,Oregon,0,0,-124.062569,44.700781,Exact,0,0,0,Male,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
193,18-06-12,00:00,Jim Rice,no data,Turtle,Green Sea Turtle,no data,Alive,Moolak Beach,Oregon,0,0,-124.063,44.699,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,"Field #: HMSC12-06-18-Cm Transferred to OCA, released by Sea World. Access to photo in a Google+ Album. Source: Jim Rice",,,,,,,,,,,,,,,,,,,,,,,
194,08-09-12,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,,,,,,,,,,,,,,Original Weight on form was 30 lbs. TURTLE SUCCESSFULLY RETURNED TO OCEAN FROM SAN ONOFRE BEACH.,,,,,,,,,,,,,,,,,,,,,,,
195,16-09-12,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,,,,,,,,,,,,,,Original Weight on form was 50 lbs. TURTLE SUCCESSFULLY RETURNED TO OCEAN FROM SAN ONOFRE BEACH.,,,,,,,,,,,,,,,,,,,,,,,
196,21-09-12,00:00,,,Turtle,Green Sea Turtle,,Alive,"Avila Beach, Diablo Canyon Power Plant, 9 Mi Nw Avila Beach. 1-2 Forebay Bar Rack Of The Plant Intake Structure.",California,,,,,,,,,,,,,,Original CCL on form was 19 in. Original Weight on form was 18 lbs. A LEPAS BARNACLE WAS ATTACHED TO RIGHT EDGE OF SHELL 1/3 OF THE LENGTH BACK FROM THE FRONT OF THE SHELL; TURTLE APPEARED STRONG AND HEALTHY; NO ABRASIONS; NO INDICATIONS OF ANY INJURY; RE,,,,,,,,,,,,,,,,,,,,,,,
197,01-11-12,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 2 ",California,,,,,,,,,,,,,,Original Weight on form was 100 lbs. TURTLE SUCCESSFULLY RETURNED TO OCEAN FROM SAN ONOFRE BEACH.,,,,,,,,,,,,,,,,,,,,,,,
198,04-11-12,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"Turtle Stranded On Beach Below 1700 Neptune Ave.  Lifeguards Transported It To The Lifeguard Station At Moonlight Beach. Robert Veria Was The Lifeguard I Spoke With.  His Number Is (760) 944-3398, His E-Mail Is Rveria@Encinitasca.Gov",California,,,,,,,,,,,,,,Original CCL on form was 24.75 in.,,,,,,,,,,,,,,,,,,,,,,,
199,22-11-12,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 2 ",California,,,,,,,,,,,,,,Original Weight on form was 70 lbs. TURTLE SUCCESSFULLY RETURNED TO OCEAN FROM SAN ONOFRE BEACH.,,,,,,,,,,,,,,,,,,,,,,,
200,17-12-12,00:00,Jim Rice,no data,Turtle,Green Sea Turtle,no data,Alive,Seaside,Oregon,0,0,-123.931879,45.997871,Exact,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
201,24-12-12,00:00,Jim Rice,no data,Turtle,Green Sea Turtle,no data,Dead,Neskowin,Oregon,0,0,-123.97403,45.152071,Exact,0,0,0,Unknown,No Data,No Data,No Data,,Field #: HMSC12-12-24-Cm Fresh Dead Access to photo in a Google+ Album,,,,,,,,,,,,,,,,,,,,,,,
202,06-05-13,00:00,,,Turtle,Green Sea Turtle,,Alive,San Onofre Nuclear Generating Station Unit 3,California,,,,,,,,,,,,,,Original Weight on form was 80 lbs.,,,,,,,,,,,,,,,,,,,,,,,
203,14-07-13,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"Long Beach, Floating In Center Of The Channel At The Mouth Of Alamitos Bay, Just A Few Feet Inside The Jetty",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,05-09-13,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Huntington Beach, Surf In Front Of First Street",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,18-12-13,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Coronado, Near 1St & Alameda, Just South Of Coroned Off Navy Area Presumed To Be The Same Turtle That Was Reported On 12/18/2013 Based On Proximity And Injury Description.  See Additional Info In The Sightings Database",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,13-03-14,00:00,,,Turtle,Green Sea Turtle,,Dried Mummified/Skeleton,Nw Corner Of D St Fill Sweetwater Marsh Unit Sd Bay Nwr,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,05-04-14,00:00,,,Turtle,Green Sea Turtle,,Alive,Reeled Up On Sandbar Near San Gabriel River Mouth Across From Jetty Near Khoury's Restaurant - South Of The Bridge,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,12-05-14,00:00,Jim Rice,no data,Turtle,Green Sea Turtle,no data,Dead,Langlois,Oregon,0,0,-124.49768,42.9196,Exact,0,0,0,Unknown,No Data,No Data,No Data,,Field #: HMSC14-05-12-Cm . Buried on site. Access to photo in a Google+ Album. Source: Jim Rice,,,,,,,,,,,,,,,,,,,,,,,
209,04-06-14,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,Oceanside Pier. 200 Yards South Of Beach-Side Street,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,18-07-14,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"City Of Trinidad, Indian Beach",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,01-08-14,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,Somewhere On Seal Beach,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,10-08-14,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,13-08-14,00:00,Jim Rice,no data,Turtle,Green Sea Turtle,no data,Alive,Florence,Oregon,0,0,-124.142988,43.967523,Exact,0,0,0,Unknown,No Data,No Data,No Data,,Field #: HMSC14-08-13-Cm. Access to a Google+ Album. Source: Jim Rice ,,,,,,,,,,,,,,,,,,,,,,,
214,30-08-14,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Agua Hedionda Lagoon.  Thurtle Was Taken To Beach Near 4756 Bayshore Dr,. Carlsbad, Ca.  Turtle Had Been Seen Floating Dead For Approx 1 Week Before Beached.  Although Reports Of A Live Turtle Within The Last Week",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,22-09-14,00:00,,,Turtle,Green Sea Turtle,,Alive,9 Miles Nw Of Avila Beach,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,24-09-14,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,Hermosa Beach,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,11-10-14,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"Intake Area Of South Bay Power Plant, Inside Of The Skimmers",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,23-10-14,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Emma Wood State Beach, On Beach, North Of The Ventura River Mouth",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,18-12-14,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"""Lima"" Pier, Near Port Ops Station, North Island Navy Base",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,21-01-15,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,North San Diego Bay,California,,,,,,,,,,,,,,"Two cracks; one on left, one on right. Right crack extends into body cavity; internal organs visible. Skin peeling; scutes peeling.",,,,,,,,,,,,,,,,,,,,,,,
221,07-02-15,00:00,,,Turtle,Green Sea Turtle,,Alive,San Gabriel River Near Haynes Plant Outfall #2,California,,,,,,,,,,,,,,"Missing left rear flipper (old injury, not associated with this entanglemnt); Front left and right flippers wrapped in monofilament. Only minor abrasion marks on flippers. About 10minutes after bringin to shore and cutting the line free, turtle was in cal",,,,,,,,,,,,,,,,,,,,,,,
222,05-03-15,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,Sd Bay Side Of Silver Strand Within The Plover/Tern Conservation Area. Approximately 0.5 Mile North Of Fiddler's Cove,California,,,,,,,,,,,,,,"Carapace cracked along the dorsal ridge, ~44 cm long.  Left quarter of the plastrone missing. Organs exposed through dorsal and ventral cracks.",,,,,,,,,,,,,,,,,,,,,,,
223,07-07-15,00:00,,,Turtle,Green Sea Turtle,,Alive,Ventura Harbor Southwest Side,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,08-07-15,00:00,,,Turtle,Green Sea Turtle,,Alive,Huntington Beach Generating Station,California,,,,,,,,,,,,,,"Scrape on shell, algae noticed on shell",,,,,,,,,,,,,,,,,,,,,,,
225,09-09-15,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"Agua Hedionda Lagoon, Floating Near Buoys In Jet Ski Area On Northern End Of Lagoon In Front Of Ca Watersports",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,12-09-15,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,Marshall Beach - In Tideline,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,15-10-15,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,Tower 24 At Bolsa Chica State Beach,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,03-11-15,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,200 Yards East Of San Gabriel River Near Surf,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,15-12-15,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,National City Marine Terminal (Port Of San Diego),California,,,,,,,,,,,,,,"Large crack in carapace (possible prop wound), a bit of intestine protruding out of crack. Cloaca prolapsed. Eyes missing. Carapace sloughing, some skin sloughing on flippers, head and neck. Small scalloping on edges. Plastron creamy in color.  All measur",,,,,,,,,,,,,,,,,,,,,,,
230,11-01-16,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"West Of ""Seaplane Ramp"" On North Island Naval Base",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,03-02-16,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"On Beach Where Lagoon Meets The Ocean, Washed Up Just South Oceanside Harbor Jetty",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,10-02-16,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"Coronado Cays, Silver Strand",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,15-03-16,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,Bandon,Oregon,0,0,-124.43525,43.08484,Exact,0,0,0,Unknown,No Data,No Data,No Data,,"031516CmST-Responded to by Oregon Parks Beach Ranger, South Coast District.",,,,,,,,,,,,,,,,,,,,,,,
234,03-08-16,00:00,,,Turtle,Green Sea Turtle,,Dried Mummified / Skeleton,"Chula Vista Wr, ~500 M West Of Osprey Nest, North Side Of Road Along Estuary High Tide Line",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,03-12-17,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Alive,Warrenton,Oregon,0,0,-123.99912,46.23396,Exact,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
236,29-01-13,00:00,,,Turtle,Hawksbill,,Moderate Decomposition,South Of Coronado Bridge   South Of 3Rd Hole Of Golf Course,California,,,,,,,,,,,,,,Original Length on form was 95.5 CM.  ,,,,,,,,,,,,,,,,,,,,,,,
237,24-09-09,00:00,no data,no data,Squid,Humboldt Squid,no data,No Data,Yachats,Oregon,0,0,-124.115,44.195,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
